,,,,,,,,Play,Play,Play,Play,Play,Play,Perf,Perf,Perf,Perf,Perf,Perf,Perf,Touc,Touc,Touc,Touc,Touc,Touc,Touc,,-additional
Rk,Player,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Pos,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
1,Caoimhín Kelleher,450,2024-2025,25,ie IRL,Liverpool,eng Premier League,5,450,5.0,5,0,5,0,0,0,0,0,0,0,195,146,194,1,0,0,195,GK,62d7ef38
2,Kepa Arrizabalaga,540,2024-2025,29,es ESP,Bournemouth,eng Premier League,6,540,6.0,6,0,0,0,0,0,0,0,0,0,204,164,201,3,0,0,204,GK,28d596a0
3,José Sá,540,2024-2025,31,pt POR,Wolves,eng Premier League,6,540,6.0,6,0,4,0,0,0,0,0,0,0,221,179,218,3,0,0,221,GK,903b6e8b
4,Alisson,528,2024-2025,31,br BRA,Liverpool,eng Premier League,6,528,5.9,6,0,0,0,0,0,0,0,0,0,227,167,223,4,0,0,227,GK,7a2e46a8
5,Sam Johnstone,450,2024-2025,31,eng ENG,2 Teams,eng Premier League,5,450,5.0,5,0,3,0,0,0,0,0,0,0,227,173,225,2,0,0,227,GK,9e5708be
6,Alphonse Areola,675,2024-2025,31,fr FRA,West Ham,eng Premier League,8,675,7.5,8,0,1,0,0,0,0,0,0,0,303,246,299,4,0,0,303,GK,2f965a72
7,Matz Sels,990,2024-2025,32,be BEL,Nott'ham Forest,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,329,242,323,6,0,0,329,GK,834b5c4c
8,Nick Pope,990,2024-2025,32,eng ENG,Newcastle Utd,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,365,297,362,3,0,0,365,GK,4b40d9ca
9,Dean Henderson,990,2024-2025,27,eng ENG,Crystal Palace,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,367,315,365,1,1,1,367,GK,e5a76dfe
10,Arijanet Muric,900,2024-2025,25,xk KVX,Ipswich Town,eng Premier League,10,900,10.0,10,0,0,0,0,0,0,0,0,0,371,296,360,11,0,0,371,GK,99aa1a84
11,Bart Verbruggen,810,2024-2025,21,nl NED,Brighton,eng Premier League,9,810,9.0,9,0,0,0,0,0,0,0,0,0,387,316,383,4,0,0,387,GK,cf134113
12,David Raya,990,2024-2025,28,es ESP,Arsenal,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,419,283,400,19,0,0,419,GK,98ea5115
13,Emiliano Martínez,990,2024-2025,31,ar ARG,Aston Villa,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,422,315,419,3,0,0,422,GK,7956236f
14,Guglielmo Vicario,990,2024-2025,27,it ITA,Tottenham,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,426,264,416,10,0,0,426,GK,77d6fd4d
15,Ederson,990,2024-2025,30,br BRA,Manchester City,eng Premier League,11,990,11.0,11,0,0,0,1,1,0,0,0,0,432,280,425,7,0,0,432,GK,3bb7b8b4
16,Mads Hermansen,990,2024-2025,24,dk DEN,Leicester City,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,432,323,414,19,0,0,432,GK,c924b17d
17,Aaron Ramsdale,810,2024-2025,26,eng ENG,2 Teams,eng Premier League,9,810,9.0,9,0,2,0,0,0,0,0,0,0,440,312,432,9,0,0,440,GK,466fb2c5
18,Bernd Leno,990,2024-2025,32,de GER,Fulham,eng Premier League,11,990,11.0,11,0,0,0,1,1,0,0,0,0,451,335,449,2,0,0,451,GK,2628fd2b
19,Jordan Pickford,990,2024-2025,30,eng ENG,Everton,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,463,316,440,24,0,0,463,GK,4806ec67
20,Robert Sánchez,990,2024-2025,26,es ESP,Chelsea,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,488,357,484,4,0,0,488,GK,6a713852
21,André Onana,990,2024-2025,28,cm CMR,Manchester Utd,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,489,320,475,14,0,0,489,GK,e9c0c1b2
22,Mark Flekken,990,2024-2025,31,nl NED,Brentford,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,607,473,591,19,0,0,607,GK,a92ab7be
