 
,,,,,,,,Play,Play,Play,Play,Play,Play,Perf,Perf,Perf,Perf,Perf,Perf,Perf,Perf,Perf,Perf,Perf,Perf,Perf,Perf,Perf,Perf,,-additional
Rk,Player,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,GA,SoTA,Saves,Save%,W,D,L,CS,CS%,Pos,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
1,Alisson,528,2024-2025,31,br BRA,Liverpool,eng Premier League,6,528,5.9,6,0,0,0,0,0,0,0,0,0,2,17,15,88.2,5,0,1,3,50.0,GK,7a2e46a8
2,Caoimhín Kelleher,450,2024-2025,25,ie IRL,Liverpool,eng Premier League,5,450,5.0,5,0,5,0,0,0,0,0,0,0,4,18,14,77.8,4,1,0,2,40.0,GK,62d7ef38
3,Kepa Arrizabalaga,540,2024-2025,29,es ESP,Bournemouth,eng Premier League,6,540,6.0,6,0,0,0,0,0,0,0,0,0,10,32,22,68.8,3,0,3,1,16.7,GK,28d596a0
4,Alphonse Areola,675,2024-2025,31,fr FRA,West Ham,eng Premier League,8,675,7.5,8,0,1,0,0,0,0,0,0,0,14,32,19,56.3,2,2,4,1,12.5,GK,2f965a72
5,Sam Johnstone,450,2024-2025,31,eng ENG,2 Teams,eng Premier League,5,450,5.0,5,0,3,0,0,0,0,0,0,0,13,32,19,65.6,0,1,4,0,0.0,GK,9e5708be
6,José Sá,540,2024-2025,31,pt POR,Wolves,eng Premier League,6,540,6.0,6,0,4,0,0,0,0,0,0,0,14,33,19,57.6,1,2,3,1,16.7,GK,903b6e8b
7,Ederson,990,2024-2025,30,br BRA,Manchester City,eng Premier League,11,990,11.0,11,0,0,0,1,1,0,0,0,0,13,36,24,66.7,7,2,2,2,18.2,GK,3bb7b8b4
8,Guglielmo Vicario,990,2024-2025,27,it ITA,Tottenham,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,13,36,23,63.9,5,1,5,2,18.2,GK,77d6fd4d
9,Matz Sels,990,2024-2025,32,be BEL,Nott'ham Forest,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,10,40,30,77.5,5,4,2,4,36.4,GK,834b5c4c
10,André Onana,990,2024-2025,28,cm CMR,Manchester Utd,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,12,40,27,72.5,4,3,4,5,45.5,GK,e9c0c1b2
11,Emiliano Martínez,990,2024-2025,31,ar ARG,Aston Villa,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,17,43,25,62.8,5,3,3,1,9.1,GK,7956236f
12,Bernd Leno,990,2024-2025,32,de GER,Fulham,eng Premier League,11,990,11.0,11,0,0,0,1,1,0,0,0,0,13,45,33,71.1,5,3,3,2,18.2,GK,2628fd2b
13,David Raya,990,2024-2025,28,es ESP,Arsenal,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,12,46,34,76.1,5,4,2,3,27.3,GK,98ea5115
14,Jordan Pickford,990,2024-2025,30,eng ENG,Everton,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,17,47,29,63.8,2,4,5,3,27.3,GK,4806ec67
15,Bart Verbruggen,810,2024-2025,21,nl NED,Brighton,eng Premier League,9,810,9.0,9,0,0,0,0,0,0,0,0,0,14,47,33,74.5,3,4,2,2,22.2,GK,cf134113
16,Nick Pope,990,2024-2025,32,eng ENG,Newcastle Utd,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,11,52,42,78.8,5,3,3,3,27.3,GK,4b40d9ca
17,Dean Henderson,990,2024-2025,27,eng ENG,Crystal Palace,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,15,53,38,71.7,1,4,6,2,18.2,GK,e5a76dfe
18,Robert Sánchez,990,2024-2025,26,es ESP,Chelsea,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,13,54,40,79.6,5,4,2,2,18.2,GK,6a713852
19,Aaron Ramsdale,810,2024-2025,26,eng ENG,2 Teams,eng Premier League,9,810,9.0,9,0,2,0,0,0,0,0,0,0,19,55,36,67.3,1,1,7,1,11.1,GK,466fb2c5
20,Arijanet Muric,900,2024-2025,25,xk KVX,Ipswich Town,eng Premier League,10,900,10.0,10,0,0,0,0,0,0,0,0,0,20,60,40,70.0,1,5,4,1,10.0,GK,99aa1a84
21,Mads Hermansen,990,2024-2025,24,dk DEN,Leicester City,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,21,61,42,67.2,2,4,5,1,9.1,GK,c924b17d
22,Mark Flekken,990,2024-2025,31,nl NED,Brentford,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,22,76,55,71.1,5,1,5,0,0.0,GK,a92ab7be
