,,,,,,,,Play,Play,Play,Play,Play,Play,Perf,Perf,Perf,Perf,Perf,Perf,Perf,Tota,Tota,Tota,,,,,,Tota,Tota,Shor,Shor,Shor,Medi,Medi,Medi,Long,Long,Long,,-additional
Rk,Player,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos,-9999
1,Cameron Archer,437,2024-2025,23,eng ENG,Southampton,eng Premier League,9,437,4.9,4,5,0,2,0,2,2,0,1,1,53,64,82.8,0,1,1,0,3,680,53,35,41,85.4,15,18,83.3,1,1,100.0,FW,05e8ca6d
2,Erling Haaland,809,2024-2025,24,no NOR,Manchester City,eng Premier League,9,809,9.0,9,0,0,11,0,11,10,1,1,0,57,91,62.6,5,2,2,0,4,684,90,37,58,63.8,15,20,75.0,1,2,50.0,FW,1f44ac21
3,Kevin Schade,461,2024-2025,22,de GER,Brentford,eng Premier League,9,461,5.1,5,4,0,0,0,0,0,0,0,0,52,97,53.6,2,3,2,0,4,751,138,29,46,63.0,19,35,54.3,1,5,20.0,FWMF,52afb588
4,Ollie Watkins,685,2024-2025,28,eng ENG,Aston Villa,eng Premier League,9,685,7.6,9,0,0,5,2,7,5,0,0,0,68,90,75.6,8,3,1,0,4,715,76,44,56,78.6,13,14,92.9,1,2,50.0,FW,aed3a70f
5,Liam Delap,632,2024-2025,21,eng ENG,Ipswich Town,eng Premier League,9,632,7.0,8,1,0,5,0,5,5,0,0,0,39,69,56.5,5,4,2,0,4,670,190,17,27,63.0,18,30,60.0,2,5,40.0,FW,dd897ee7
6,Jean-Ricner Bellegarde,403,2024-2025,26,fr FRA,Wolves,eng Premier League,8,403,4.5,6,2,1,1,1,2,1,0,0,0,87,111,78.4,5,8,2,1,5,1282,157,56,60,93.3,25,32,78.1,6,9,66.7,MFFW,10f0fdd3
7,Evanilson,541,2024-2025,24,br BRA,Bournemouth,eng Premier League,8,541,6.0,7,1,0,2,0,2,2,0,1,1,50,76,65.8,5,1,1,0,5,668,135,32,47,68.1,12,13,92.3,3,4,75.0,FW,6f3cc2fe
8,Diogo Jota,492,2024-2025,27,pt POR,Liverpool,eng Premier League,7,492,5.5,7,0,1,2,2,4,2,0,0,0,73,109,67.0,3,6,2,1,6,1052,249,37,53,69.8,24,30,80.0,5,8,62.5,FW,178ae8f8
9,Dango Ouattara,414,2024-2025,22,bf BFA,Bournemouth,eng Premier League,8,414,4.6,4,4,0,1,1,2,1,0,0,0,75,141,53.2,5,1,2,2,6,1269,357,37,56,66.1,33,49,67.3,5,21,23.8,FWDF,2f9e4435
10,Jørgen Strand Larsen,732,2024-2025,24,no NOR,Wolves,eng Premier League,9,732,8.1,9,0,0,3,1,4,3,0,0,0,65,114,57.0,5,2,2,1,6,845,138,34,58,58.6,21,35,60.0,2,3,66.7,FW,f553b2b3
11,Yerson Mosquera,441,2024-2025,23,co COL,Wolves,eng Premier League,5,441,4.9,5,0,0,0,0,0,0,0,0,0,205,240,85.4,2,16,1,1,7,3996,1184,66,73,90.4,115,123,93.5,22,35,62.9,DF,1e159d70
12,Adam Smith,434,2024-2025,33,eng ENG,Bournemouth,eng Premier League,9,434,4.8,4,5,0,0,0,0,0,0,0,0,135,174,77.6,2,8,1,0,7,1971,652,71,82,86.6,56,70,80.0,3,13,23.1,DF,20b104bc
