,,,,,,,,Play,Play,Play,Play,Play,Play,Perf,Perf,Perf,Perf,Perf,Perf,Perf,Tota,Tota,Tota,,,,,,Tota,Tota,Shor,Shor,Shor,Medi,Medi,Medi,Long,Long,Long,,-additional
Rk,Player,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
1,Caoimhín Kelleher,450,2024-2025,25,ie IRL,Liverpool,eng Premier League,5,450,5.0,5,0,5,0,0,0,0,0,0,0,140,186,75.3,0,3,0,0,0,3057,1867,44,44,100.0,76,76,100.0,20,65,30.8,GK,62d7ef38
2,Kepa Arrizabalaga,540,2024-2025,29,es ESP,Bournemouth,eng Premier League,6,540,6.0,6,0,0,0,0,0,0,0,0,0,148,192,77.1,1,2,0,0,0,4289,2984,16,18,88.9,82,84,97.6,49,87,56.3,GK,28d596a0
3,José Sá,540,2024-2025,31,pt POR,Wolves,eng Premier League,6,540,6.0,6,0,4,0,0,0,0,0,0,0,116,206,56.3,1,6,1,0,0,3470,2634,16,16,100.0,60,61,98.4,39,127,30.7,GK,903b6e8b
4,Sam Johnstone,450,2024-2025,31,eng ENG,2 Teams,eng Premier League,5,450,5.0,5,0,3,0,0,0,0,0,0,0,136,206,66.0,1,1,0,0,0,3942,2933,23,24,95.8,64,66,97.0,48,112,42.9,GK,9e5708be
5,Alisson,528,2024-2025,31,br BRA,Liverpool,eng Premier League,6,528,5.9,6,0,0,0,0,0,0,0,0,0,180,216,83.3,0,2,0,0,0,3601,2019,62,62,100.0,97,99,98.0,20,53,37.7,GK,7a2e46a8
6,Alphonse Areola,675,2024-2025,31,fr FRA,West Ham,eng Premier League,8,675,7.5,8,0,1,0,0,0,0,0,0,0,211,289,73.0,0,4,0,0,0,5752,4223,46,46,100.0,97,102,95.1,67,136,49.3,GK,2f965a72
7,Matz Sels,990,2024-2025,32,be BEL,Nott'ham Forest,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,160,306,52.3,0,15,1,0,1,5856,5014,26,26,100.0,51,52,98.1,83,224,37.1,GK,834b5c4c
8,Nick Pope,990,2024-2025,32,eng ENG,Newcastle Utd,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,222,327,67.9,0,1,0,0,0,5561,3463,55,55,100.0,107,109,98.2,58,160,36.3,GK,4b40d9ca
9,Dean Henderson,990,2024-2025,27,eng ENG,Crystal Palace,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,212,333,63.7,0,1,0,0,0,5108,3334,61,61,100.0,104,104,100.0,43,163,26.4,GK,e5a76dfe
10,Arijanet Muric,900,2024-2025,25,xk KVX,Ipswich Town,eng Premier League,10,900,10.0,10,0,0,0,0,0,0,0,0,0,233,335,69.6,0,5,0,0,0,5883,4158,67,67,100.0,110,114,96.5,56,153,36.6,GK,99aa1a84
11,Bart Verbruggen,810,2024-2025,21,nl NED,Brighton,eng Premier League,9,810,9.0,9,0,0,0,0,0,0,0,0,0,290,357,81.2,0,3,0,0,0,6882,4896,92,92,100.0,122,124,98.4,75,136,55.1,GK,cf134113
12,David Raya,990,2024-2025,28,es ESP,Arsenal,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,274,396,69.2,0,18,1,0,3,7652,5639,61,62,98.4,131,133,98.5,82,199,41.2,GK,98ea5115
13,Mads Hermansen,990,2024-2025,24,dk DEN,Leicester City,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,274,398,68.8,0,9,0,0,0,7239,5390,70,71,98.6,116,122,95.1,88,202,43.6,GK,c924b17d
14,Emiliano Martínez,990,2024-2025,31,ar ARG,Aston Villa,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,324,400,81.0,0,8,0,0,0,8832,5315,43,44,97.7,196,201,97.5,85,154,55.2,GK,7956236f
15,Guglielmo Vicario,990,2024-2025,27,it ITA,Tottenham,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,370,402,92.0,0,1,0,0,1,6841,4078,132,133,99.2,199,203,98.0,35,61,57.4,GK,77d6fd4d
16,Ederson,990,2024-2025,30,br BRA,Manchester City,eng Premier League,11,990,11.0,11,0,0,0,1,1,0,0,0,0,351,405,86.7,1,9,1,0,1,8501,5565,69,69,100.0,203,209,97.1,78,125,62.4,GK,3bb7b8b4
17,Aaron Ramsdale,810,2024-2025,26,eng ENG,2 Teams,eng Premier League,9,810,9.0,9,0,2,0,0,0,0,0,0,0,316,415,76.1,0,10,1,0,0,7059,5093,107,107,100.0,139,148,93.9,64,154,41.6,GK,466fb2c5
18,Jordan Pickford,990,2024-2025,30,eng ENG,Everton,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,267,430,62.1,0,23,3,0,0,9567,7710,31,31,100.0,96,98,98.0,140,296,47.3,GK,4806ec67
19,Bernd Leno,990,2024-2025,32,de GER,Fulham,eng Premier League,11,990,11.0,11,0,0,0,1,1,0,0,0,0,360,433,83.1,1,4,1,0,0,8288,4566,62,63,98.4,248,249,99.6,48,119,40.3,GK,2628fd2b
20,Robert Sánchez,990,2024-2025,26,es ESP,Chelsea,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,351,458,76.6,0,6,1,0,1,7901,5221,87,88,98.9,201,208,96.6,61,158,38.6,GK,6a713852
21,André Onana,990,2024-2025,28,cm CMR,Manchester Utd,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,357,466,76.6,1,10,0,0,0,8274,5719,104,105,99.0,178,179,99.4,73,178,41.0,GK,e9c0c1b2
22,Mark Flekken,990,2024-2025,31,nl NED,Brentford,eng Premier League,11,990,11.0,11,0,0,0,0,0,0,0,0,0,438,569,77.0,0,15,1,0,0,12626,8044,50,52,96.2,241,249,96.8,147,266,55.3,GK,a92ab7be
